Corre;Año; Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de Cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (Peso de cada cabeza);Carne y Hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio;;;
251;2023;1;1;12;11;2;1;12;1,980;20;1.65;11;5;17;2;0;1;1;;;
252;2023;1;1;12;11;2;2;12;1,980;20;1.65;11;5;17;2;0;1;1;;;
253;2023;1;1;12;12;1;1;9;6,345;63;7.05;32;3;34;8;5;3;1;;;
254;2023;1;1;12;12;1;5;4;2,276;23;5.69;11;1;12;3;2;1;0;;;
255;2023;1;1;12;12;1;6;3;1,478;15;4.93;7;1;8;2;1;1;0;;;
256;2023;1;1;12;12;2;1;9;1,485;15;1.65;9;4;13;1;0;0;1;;;
257;2023;1;1;12;12;2;2;7;1,155;12;1.65;7;3;10;1;0;0;1;;;
258;2023;1;1;12;13;1;1;3;2,115;21;7.05;11;1;11;3;2;1;0;;;
259;2023;1;1;12;13;1;2;4;2,400;24;6.00;12;1;13;3;2;1;0;;;
260;2023;1;1;12;13;1;5;38;21,622;216;5.69;108;10;118;30;17;11;2;;;
261;2023;1;1;12;15;1;1;122;86,010;860;7.05;429;38;467;107;68;43;9;;;
262;2023;1;1;12;15;1;2;107;64,200;642;6.00;315;29;344;83;46;32;3;;;
263;2023;1;1;12;15;1;5;115;65,435;654;5.69;326;29;356;92;52;33;7;;;
264;2023;1;1;12;15;1;6;101;49,743;497;4.93;248;22;270;70;39;25;5;;;
265;2023;1;1;12;16;1;1;108;76,140;761;7.05;380;34;414;95;60;38;8;;;
266;2023;1;1;12;16;1;2;92;55,200;552;6.00;271;25;296;72;39;28;3;;;
267;2023;1;1;12;16;1;5;43;24,467;245;5.69;122;11;133;34;19;12;2;;;
268;2023;1;1;12;16;1;6;85;41,863;419;4.93;209;19;228;59;33;21;4;;;
269;2023;1;1;12;16;2;1;160;26,400;264;1.65;153;71;224;21;0;7;12;;;
270;2023;1;1;12;16;2;2;130;21,450;215;1.65;124;57;182;17;0;6;10;;;
